Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.010611 | lrm: 1.00 | dt: 18233ms | tok/sec: 14,377 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.201816 | lrm: 1.00 | dt: 689ms | tok/sec: 380,265 | mfu: 16.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.082382 | lrm: 1.00 | dt: 861ms | tok/sec: 304,530 | mfu: 13.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.759493 | lrm: 1.00 | dt: 741ms | tok/sec: 353,950 | mfu: 15.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.433277 | lrm: 1.00 | dt: 739ms | tok/sec: 354,685 | mfu: 15.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.107481 | lrm: 1.00 | dt: 778ms | tok/sec: 337,100 | mfu: 14.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.818863 | lrm: 1.00 | dt: 727ms | tok/sec: 360,697 | mfu: 15.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.568696 | lrm: 1.00 | dt: 920ms | tok/sec: 284,931 | mfu: 12.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.341653 | lrm: 1.00 | dt: 770ms | tok/sec: 340,485 | mfu: 14.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.135399 | lrm: 1.00 | dt: 864ms | tok/sec: 303,267 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.964889 | lrm: 1.00 | dt: 817ms | tok/sec: 320,784 | mfu: 13.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.805568 | lrm: 1.00 | dt: 853ms | tok/sec: 307,140 | mfu: 13.3% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.659684 | lrm: 1.00 | dt: 749ms | tok/sec: 349,850 | mfu: 15.2% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.540987 | lrm: 1.00 | dt: 838ms | tok/sec: 312,800 | mfu: 13.5% | epoch: 1 | remaining: 298s    
step 00156 (41.0%) | loss: 3.555406 | lrm: 1.00 | dt: 996ms | tok/sec: 263,252 | mfu: 11.4% | epoch: 1 | remaining: 176s    
step 00157 (41.3%) | loss: 3.540741 | lrm: 1.00 | dt: 765ms | tok/sec: 342,632 | mfu: 14.8% | epoch: 1 | remaining: 175s    
step 00158 (41.6%) | loss: 3.534308 | lrm: 1.00 | dt: 923ms | tok/sec: 284,040 | mfu: 12.3% | epoch: 1 | remaining: 174s    
step 00159 (41.9%) | loss: 3.542013 | lrm: 1.00 | dt: 924ms | tok/sec: 283,689 | mfu: 12.3% | epoch: 1 | remaining: 173s    
step 00160 (42.2%) | loss: 3.534331 | lrm: 1.00 | dt: 905ms | tok/sec: 289,644 | mfu: 12.5% | epoch: 1 | remaining: 173s    
step 00161 (42.5%) | loss: 3.531106 | lrm: 1.00 | dt: 996ms | tok/sec: 263,305 | mfu: 11.4% | epoch: 1 | remaining: 172s    
step 00162 (42.8%) | loss: 3.517550 | lrm: 1.00 | dt: 923ms | tok/sec: 283,962 | mfu: 12.3% | epoch: 1 | remaining: 171s    
step 00163 (43.1%) | loss: 3.507248 | lrm: 1.00 | dt: 799ms | tok/sec: 327,897 | mfu: 14.2% | epoch: 1 | remaining: 170s    
step 00164 (43.4%) | loss: 3.507212 | lrm: 1.00 | dt: 1106ms | tok/sec: 237,094 | mfu: 10.3% | epoch: 1 | remaining: 169s    
step 00165 (43.8%) | loss: 3.499800 | lrm: 1.00 | dt: 865ms | tok/sec: 303,164 | mfu: 13.1% | epoch: 1 | remaining: 168s    
step 00166 (44.0%) | loss: 3.492423 | lrm: 1.00 | dt: 900ms | tok/sec: 291,250 | mfu: 12.6% | epoch: 1 | remaining: 167s    
step 00167 (44.3%) | loss: 3.495846 | lrm: 1.00 | dt: 918ms | tok/sec: 285,406 | mfu: 12.4% | epoch: 1 | remaining: 166s    
step 00168 (44.7%) | loss: 3.497981 | lrm: 1.00 | dt: 817ms | tok/sec: 320,875 | mfu: 13.9% | epoch: 1 | remaining: 165s    
step 00169 (44.9%) | loss: 3.494053 | lrm: 1.00 | dt: 997ms | tok/sec: 262,922 | mfu: 11.4% | epoch: 1 | remaining: 164s    
step 00170 (45.3%) | loss: 3.490824 | lrm: 1.00 | dt: 853ms | tok/sec: 307,361 | mfu: 13.3% | epoch: 1 | remaining: 163s    
step 00171 (45.5%) | loss: 3.497231 | lrm: 1.00 | dt: 999ms | tok/sec: 262,284 | mfu: 11.4% | epoch: 1 | remaining: 162s    
step 00172 (45.9%) | loss: 3.485970 | lrm: 1.00 | dt: 896ms | tok/sec: 292,715 | mfu: 12.7% | epoch: 1 | remaining: 161s    
step 00173 (46.2%) | loss: 3.485026 | lrm: 1.00 | dt: 917ms | tok/sec: 285,813 | mfu: 12.4% | epoch: 1 | remaining: 161s    
step 00174 (46.5%) | loss: 3.482826 | lrm: 1.00 | dt: 878ms | tok/sec: 298,653 | mfu: 12.9% | epoch: 1 | remaining: 160s    
step 00175 (46.8%) | loss: 3.481541 | lrm: 1.00 | dt: 810ms | tok/sec: 323,601 | mfu: 14.0% | epoch: 1 | remaining: 159s    
step 00176 (47.0%) | loss: 3.478928 | lrm: 1.00 | dt: 1028ms | tok/sec: 254,983 | mfu: 11.0% | epoch: 1 | remaining: 158s    
step 00177 (47.4%) | loss: 3.471469 | lrm: 1.00 | dt: 1075ms | tok/sec: 243,753 | mfu: 10.6% | epoch: 1 | remaining: 157s    
step 00178 (47.7%) | loss: 3.469538 | lrm: 1.00 | dt: 1063ms | tok/sec: 246,630 | mfu: 10.7% | epoch: 1 | remaining: 156s    
step 00179 (48.1%) | loss: 3.465617 | lrm: 1.00 | dt: 808ms | tok/sec: 324,300 | mfu: 14.0% | epoch: 1 | remaining: 155s    
step 00180 (48.4%) | loss: 3.467841 | lrm: 1.00 | dt: 974ms | tok/sec: 269,054 | mfu: 11.7% | epoch: 1 | remaining: 154s    
step 00181 (48.7%) | loss: 3.465969 | lrm: 1.00 | dt: 1029ms | tok/sec: 254,869 | mfu: 11.0% | epoch: 1 | remaining: 153s    
step 00182 (49.0%) | loss: 3.458481 | lrm: 1.00 | dt: 836ms | tok/sec: 313,639 | mfu: 13.6% | epoch: 1 | remaining: 152s    
step 00183 (49.3%) | loss: 3.455853 | lrm: 1.00 | dt: 804ms | tok/sec: 326,136 | mfu: 14.1% | epoch: 1 | remaining: 151s    
step 00184 (49.6%) | loss: 3.452373 | lrm: 1.00 | dt: 816ms | tok/sec: 321,154 | mfu: 13.9% | epoch: 1 | remaining: 150s    
step 00185 (49.9%) | loss: 3.452151 | lrm: 1.00 | dt: 818ms | tok/sec: 320,369 | mfu: 13.9% | epoch: 1 | remaining: 150s    
step 00186 (50.1%) | loss: 3.451503 | lrm: 1.00 | dt: 851ms | tok/sec: 308,043 | mfu: 13.3% | epoch: 1 | remaining: 149s    
step 00187 (50.4%) | loss: 3.450685 | lrm: 0.99 | dt: 790ms | tok/sec: 331,702 | mfu: 14.4% | epoch: 1 | remaining: 148s    
step 00188 (50.7%) | loss: 3.451344 | lrm: 0.99 | dt: 708ms | tok/sec: 370,110 | mfu: 16.0% | epoch: 1 | remaining: 147s    
step 00189 (50.9%) | loss: 3.444339 | lrm: 0.98 | dt: 696ms | tok/sec: 376,599 | mfu: 16.3% | epoch: 1 | remaining: 147s    
step 00190 (51.1%) | loss: 3.447692 | lrm: 0.98 | dt: 697ms | tok/sec: 375,967 | mfu: 16.3% | epoch: 1 | remaining: 146s    
step 00191 (51.4%) | loss: 3.451231 | lrm: 0.97 | dt: 716ms | tok/sec: 365,986 | mfu: 15.9% | epoch: 1 | remaining: 145s    
step 00192 (51.6%) | loss: 3.458928 | lrm: 0.97 | dt: 707ms | tok/sec: 370,630 | mfu: 16.1% | epoch: 1 | remaining: 144s    
step 00193 (51.8%) | loss: 3.454181 | lrm: 0.96 | dt: 805ms | tok/sec: 325,466 | mfu: 14.1% | epoch: 1 | remaining: 144s    
step 00194 (52.1%) | loss: 3.453045 | lrm: 0.96 | dt: 811ms | tok/sec: 323,183 | mfu: 14.0% | epoch: 1 | remaining: 143s    
step 00195 (52.4%) | loss: 3.442675 | lrm: 0.95 | dt: 810ms | tok/sec: 323,658 | mfu: 14.0% | epoch: 1 | remaining: 142s    
step 00196 (52.7%) | loss: 3.439348 | lrm: 0.95 | dt: 876ms | tok/sec: 299,165 | mfu: 13.0% | epoch: 1 | remaining: 141s    
step 00197 (52.9%) | loss: 3.439998 | lrm: 0.94 | dt: 827ms | tok/sec: 316,833 | mfu: 13.7% | epoch: 1 | remaining: 140s    
step 00198 (53.2%) | loss: 3.433521 | lrm: 0.94 | dt: 886ms | tok/sec: 295,799 | mfu: 12.8% | epoch: 1 | remaining: 139s    
step 00199 (53.5%) | loss: 3.431696 | lrm: 0.93 | dt: 694ms | tok/sec: 377,793 | mfu: 16.4% | epoch: 1 | remaining: 139s    
step 00200 (53.8%) | loss: 3.422428 | lrm: 0.92 | dt: 902ms | tok/sec: 290,586 | mfu: 12.6% | epoch: 1 | remaining: 138s    
step 00201 (54.1%) | loss: 3.424046 | lrm: 0.92 | dt: 941ms | tok/sec: 278,642 | mfu: 12.1% | epoch: 1 | remaining: 137s    
step 00202 (54.4%) | loss: 3.416254 | lrm: 0.91 | dt: 811ms | tok/sec: 323,388 | mfu: 14.0% | epoch: 1 | remaining: 136s    
step 00203 (54.6%) | loss: 3.407685 | lrm: 0.91 | dt: 801ms | tok/sec: 327,419 | mfu: 14.2% | epoch: 1 | remaining: 135s    
step 00204 (54.9%) | loss: 3.398872 | lrm: 0.90 | dt: 731ms | tok/sec: 358,386 | mfu: 15.5% | epoch: 1 | remaining: 135s    
step 00205 (55.1%) | loss: 3.391026 | lrm: 0.90 | dt: 810ms | tok/sec: 323,671 | mfu: 14.0% | epoch: 1 | remaining: 134s    
step 00206 (55.4%) | loss: 3.384003 | lrm: 0.89 | dt: 804ms | tok/sec: 326,167 | mfu: 14.1% | epoch: 1 | remaining: 133s    
step 00207 (55.7%) | loss: 3.378696 | lrm: 0.89 | dt: 855ms | tok/sec: 306,500 | mfu: 13.3% | epoch: 1 | remaining: 132s    
step 00208 (56.0%) | loss: 3.356193 | lrm: 0.88 | dt: 1199ms | tok/sec: 218,659 | mfu: 9.5% | epoch: 1 | remaining: 131s    
step 00209 (56.4%) | loss: 3.345016 | lrm: 0.87 | dt: 1038ms | tok/sec: 252,610 | mfu: 10.9% | epoch: 1 | remaining: 130s    
step 00210 (56.7%) | loss: 3.342822 | lrm: 0.87 | dt: 890ms | tok/sec: 294,392 | mfu: 12.8% | epoch: 1 | remaining: 129s    
step 00211 (57.0%) | loss: 3.352924 | lrm: 0.86 | dt: 973ms | tok/sec: 269,311 | mfu: 11.7% | epoch: 1 | remaining: 128s    
step 00212 (57.3%) | loss: 3.347552 | lrm: 0.85 | dt: 1135ms | tok/sec: 231,013 | mfu: 10.0% | epoch: 1 | remaining: 127s    
step 00213 (57.7%) | loss: 3.355353 | lrm: 0.85 | dt: 940ms | tok/sec: 278,854 | mfu: 12.1% | epoch: 1 | remaining: 126s    
step 00214 (58.0%) | loss: 3.340917 | lrm: 0.84 | dt: 840ms | tok/sec: 312,023 | mfu: 13.5% | epoch: 1 | remaining: 125s    
step 00215 (58.3%) | loss: 3.333528 | lrm: 0.83 | dt: 853ms | tok/sec: 307,466 | mfu: 13.3% | epoch: 1 | remaining: 124s    
step 00216 (58.6%) | loss: 3.332845 | lrm: 0.83 | dt: 1018ms | tok/sec: 257,595 | mfu: 11.2% | epoch: 1 | remaining: 123s    
step 00217 (58.9%) | loss: 3.331596 | lrm: 0.82 | dt: 863ms | tok/sec: 303,858 | mfu: 13.2% | epoch: 1 | remaining: 122s    
step 00218 (59.2%) | loss: 3.325733 | lrm: 0.82 | dt: 775ms | tok/sec: 338,380 | mfu: 14.7% | epoch: 1 | remaining: 122s    
step 00219 (59.5%) | loss: 3.320666 | lrm: 0.81 | dt: 865ms | tok/sec: 303,155 | mfu: 13.1% | epoch: 1 | remaining: 121s    
step 00220 (59.8%) | loss: 3.315828 | lrm: 0.80 | dt: 924ms | tok/sec: 283,711 | mfu: 12.3% | epoch: 1 | remaining: 120s    
step 00221 (60.1%) | loss: 3.322173 | lrm: 0.80 | dt: 967ms | tok/sec: 271,170 | mfu: 11.7% | epoch: 1 | remaining: 119s    
step 00222 (60.4%) | loss: 3.312726 | lrm: 0.79 | dt: 919ms | tok/sec: 285,208 | mfu: 12.4% | epoch: 1 | remaining: 118s    
step 00223 (60.7%) | loss: 3.318793 | lrm: 0.79 | dt: 905ms | tok/sec: 289,601 | mfu: 12.5% | epoch: 1 | remaining: 117s    
step 00224 (61.0%) | loss: 3.318601 | lrm: 0.78 | dt: 981ms | tok/sec: 267,248 | mfu: 11.6% | epoch: 1 | remaining: 116s    
step 00225 (61.3%) | loss: 3.320730 | lrm: 0.77 | dt: 900ms | tok/sec: 291,431 | mfu: 12.6% | epoch: 1 | remaining: 115s    
step 00226 (61.6%) | loss: 3.332775 | lrm: 0.77 | dt: 894ms | tok/sec: 293,227 | mfu: 12.7% | epoch: 1 | remaining: 114s    
step 00227 (61.9%) | loss: 3.332604 | lrm: 0.76 | dt: 808ms | tok/sec: 324,312 | mfu: 14.0% | epoch: 1 | remaining: 113s    
step 00228 (62.2%) | loss: 3.335035 | lrm: 0.76 | dt: 849ms | tok/sec: 308,943 | mfu: 13.4% | epoch: 1 | remaining: 113s    
step 00229 (62.5%) | loss: 3.327714 | lrm: 0.75 | dt: 1054ms | tok/sec: 248,737 | mfu: 10.8% | epoch: 1 | remaining: 112s    
step 00230 (62.8%) | loss: 3.333561 | lrm: 0.74 | dt: 798ms | tok/sec: 328,706 | mfu: 14.2% | epoch: 1 | remaining: 111s    
step 00231 (63.1%) | loss: 3.341214 | lrm: 0.74 | dt: 900ms | tok/sec: 291,412 | mfu: 12.6% | epoch: 1 | remaining: 110s    
step 00232 (63.4%) | loss: 3.330476 | lrm: 0.73 | dt: 802ms | tok/sec: 326,798 | mfu: 14.2% | epoch: 1 | remaining: 109s    
step 00233 (63.7%) | loss: 3.322573 | lrm: 0.73 | dt: 903ms | tok/sec: 290,461 | mfu: 12.6% | epoch: 1 | remaining: 108s    
step 00234 (64.0%) | loss: 3.320515 | lrm: 0.72 | dt: 834ms | tok/sec: 314,487 | mfu: 13.6% | epoch: 1 | remaining: 107s    
step 00235 (64.2%) | loss: 3.325311 | lrm: 0.72 | dt: 738ms | tok/sec: 355,424 | mfu: 15.4% | epoch: 1 | remaining: 107s    
step 00236 (64.5%) | loss: 3.324711 | lrm: 0.71 | dt: 722ms | tok/sec: 362,941 | mfu: 15.7% | epoch: 1 | remaining: 106s    
step 00237 (64.7%) | loss: 3.327304 | lrm: 0.71 | dt: 849ms | tok/sec: 308,925 | mfu: 13.4% | epoch: 1 | remaining: 105s    
step 00238 (65.0%) | loss: 3.324597 | lrm: 0.70 | dt: 704ms | tok/sec: 372,464 | mfu: 16.1% | epoch: 1 | remaining: 104s    
step 00239 (65.2%) | loss: 3.324418 | lrm: 0.70 | dt: 771ms | tok/sec: 340,110 | mfu: 14.7% | epoch: 1 | remaining: 103s    
step 00240 (65.5%) | loss: 3.320868 | lrm: 0.69 | dt: 790ms | tok/sec: 331,758 | mfu: 14.4% | epoch: 1 | remaining: 103s    
step 00241 (65.8%) | loss: 3.321007 | lrm: 0.68 | dt: 817ms | tok/sec: 320,948 | mfu: 13.9% | epoch: 1 | remaining: 102s    
step 00242 (66.0%) | loss: 3.320129 | lrm: 0.68 | dt: 865ms | tok/sec: 303,122 | mfu: 13.1% | epoch: 1 | remaining: 101s    
step 00243 (66.3%) | loss: 3.312318 | lrm: 0.67 | dt: 778ms | tok/sec: 337,136 | mfu: 14.6% | epoch: 1 | remaining: 100s    
step 00244 (66.6%) | loss: 3.292209 | lrm: 0.67 | dt: 743ms | tok/sec: 352,672 | mfu: 15.3% | epoch: 1 | remaining: 99s    
step 00245 (66.8%) | loss: 3.287655 | lrm: 0.66 | dt: 974ms | tok/sec: 269,272 | mfu: 11.7% | epoch: 1 | remaining: 99s    
step 00246 (67.2%) | loss: 3.288460 | lrm: 0.66 | dt: 764ms | tok/sec: 343,075 | mfu: 14.9% | epoch: 1 | remaining: 98s    
step 00247 (67.4%) | loss: 3.293565 | lrm: 0.65 | dt: 816ms | tok/sec: 321,101 | mfu: 13.9% | epoch: 1 | remaining: 97s    
step 00248 (67.7%) | loss: 3.290164 | lrm: 0.65 | dt: 863ms | tok/sec: 303,756 | mfu: 13.2% | epoch: 1 | remaining: 96s    
step 00249 (68.0%) | loss: 3.297420 | lrm: 0.64 | dt: 791ms | tok/sec: 331,325 | mfu: 14.4% | epoch: 1 | remaining: 95s    
step 00250 (68.2%) | loss: 3.297369 | lrm: 0.64 | dt: 894ms | tok/sec: 293,357 | mfu: 12.7% | epoch: 1 | remaining: 94s    
step 00251 (68.5%) | loss: 3.297026 | lrm: 0.63 | dt: 721ms | tok/sec: 363,615 | mfu: 15.8% | epoch: 1 | remaining: 94s    
step 00252 (68.8%) | loss: 3.294296 | lrm: 0.62 | dt: 782ms | tok/sec: 335,273 | mfu: 14.5% | epoch: 1 | remaining: 93s    
step 00253 (69.0%) | loss: 3.286754 | lrm: 0.62 | dt: 793ms | tok/sec: 330,710 | mfu: 14.3% | epoch: 1 | remaining: 92s    
step 00254 (69.3%) | loss: 3.274286 | lrm: 0.61 | dt: 776ms | tok/sec: 337,875 | mfu: 14.6% | epoch: 1 | remaining: 91s    
step 00255 (69.6%) | loss: 3.275457 | lrm: 0.61 | dt: 751ms | tok/sec: 349,206 | mfu: 15.1% | epoch: 1 | remaining: 91s    
step 00256 (69.8%) | loss: 3.261269 | lrm: 0.60 | dt: 787ms | tok/sec: 333,070 | mfu: 14.4% | epoch: 1 | remaining: 90s    
step 00257 (70.1%) | loss: 3.266753 | lrm: 0.60 | dt: 797ms | tok/sec: 328,902 | mfu: 14.2% | epoch: 1 | remaining: 89s    
step 00258 (70.3%) | loss: 3.267263 | lrm: 0.59 | dt: 800ms | tok/sec: 327,499 | mfu: 14.2% | epoch: 1 | remaining: 88s    
step 00259 (70.6%) | loss: 3.260578 | lrm: 0.59 | dt: 838ms | tok/sec: 312,772 | mfu: 13.5% | epoch: 1 | remaining: 87s    
step 00260 (70.9%) | loss: 3.263033 | lrm: 0.58 | dt: 757ms | tok/sec: 346,495 | mfu: 15.0% | epoch: 1 | remaining: 87s    
step 00261 (71.1%) | loss: 3.257918 | lrm: 0.58 | dt: 1019ms | tok/sec: 257,202 | mfu: 11.1% | epoch: 1 | remaining: 86s    
step 00262 (71.5%) | loss: 3.255661 | lrm: 0.57 | dt: 935ms | tok/sec: 280,504 | mfu: 12.2% | epoch: 1 | remaining: 85s    
step 00263 (71.8%) | loss: 3.258500 | lrm: 0.56 | dt: 958ms | tok/sec: 273,665 | mfu: 11.9% | epoch: 1 | remaining: 84s    
step 00264 (72.1%) | loss: 3.260403 | lrm: 0.56 | dt: 774ms | tok/sec: 338,877 | mfu: 14.7% | epoch: 1 | remaining: 83s    
step 00265 (72.4%) | loss: 3.254245 | lrm: 0.55 | dt: 783ms | tok/sec: 334,583 | mfu: 14.5% | epoch: 1 | remaining: 82s    
step 00266 (72.6%) | loss: 3.243085 | lrm: 0.55 | dt: 845ms | tok/sec: 310,269 | mfu: 13.4% | epoch: 1 | remaining: 81s    
step 00267 (72.9%) | loss: 3.231222 | lrm: 0.54 | dt: 698ms | tok/sec: 375,700 | mfu: 16.3% | epoch: 1 | remaining: 81s    
step 00268 (73.1%) | loss: 3.229735 | lrm: 0.54 | dt: 756ms | tok/sec: 346,845 | mfu: 15.0% | epoch: 1 | remaining: 80s    
step 00269 (73.4%) | loss: 3.220054 | lrm: 0.53 | dt: 863ms | tok/sec: 303,768 | mfu: 13.2% | epoch: 1 | remaining: 79s    
step 00270 (73.7%) | loss: 3.213110 | lrm: 0.53 | dt: 702ms | tok/sec: 373,413 | mfu: 16.2% | epoch: 1 | remaining: 78s    
step 00271 (73.9%) | loss: 3.213439 | lrm: 0.52 | dt: 694ms | tok/sec: 377,562 | mfu: 16.4% | epoch: 1 | remaining: 78s    
step 00272 (74.1%) | loss: 3.216398 | lrm: 0.52 | dt: 694ms | tok/sec: 377,861 | mfu: 16.4% | epoch: 1 | remaining: 77s    
step 00273 (74.4%) | loss: 3.201533 | lrm: 0.51 | dt: 695ms | tok/sec: 377,448 | mfu: 16.3% | epoch: 1 | remaining: 76s    
step 00274 (74.6%) | loss: 3.193528 | lrm: 0.51 | dt: 740ms | tok/sec: 354,217 | mfu: 15.3% | epoch: 1 | remaining: 75s    
step 00275 (74.9%) | loss: 3.202282 | lrm: 0.50 | dt: 728ms | tok/sec: 360,215 | mfu: 15.6% | epoch: 1 | remaining: 75s    
step 00276 (75.1%) | loss: 3.201959 | lrm: 0.50 | dt: 710ms | tok/sec: 369,423 | mfu: 16.0% | epoch: 1 | remaining: 74s    
step 00277 (75.3%) | loss: 3.199077 | lrm: 0.49 | dt: 753ms | tok/sec: 348,008 | mfu: 15.1% | epoch: 1 | remaining: 73s    
step 00278 (75.6%) | loss: 3.203812 | lrm: 0.49 | dt: 804ms | tok/sec: 326,025 | mfu: 14.1% | epoch: 1 | remaining: 72s    
step 00279 (75.9%) | loss: 3.195209 | lrm: 0.48 | dt: 695ms | tok/sec: 377,099 | mfu: 16.3% | epoch: 1 | remaining: 72s    
step 00280 (76.1%) | loss: 3.194627 | lrm: 0.48 | dt: 717ms | tok/sec: 365,368 | mfu: 15.8% | epoch: 1 | remaining: 71s    
step 00281 (76.3%) | loss: 3.192397 | lrm: 0.47 | dt: 749ms | tok/sec: 350,064 | mfu: 15.2% | epoch: 1 | remaining: 70s    
step 00282 (76.6%) | loss: 3.178301 | lrm: 0.47 | dt: 693ms | tok/sec: 378,069 | mfu: 16.4% | epoch: 1 | remaining: 70s    
step 00283 (76.8%) | loss: 3.168001 | lrm: 0.46 | dt: 756ms | tok/sec: 346,622 | mfu: 15.0% | epoch: 1 | remaining: 69s    
step 00284 (77.1%) | loss: 3.172577 | lrm: 0.46 | dt: 772ms | tok/sec: 339,583 | mfu: 14.7% | epoch: 1 | remaining: 68s    
step 00285 (77.3%) | loss: 3.175954 | lrm: 0.45 | dt: 703ms | tok/sec: 372,929 | mfu: 16.2% | epoch: 1 | remaining: 67s    
step 00286 (77.5%) | loss: 3.171311 | lrm: 0.45 | dt: 698ms | tok/sec: 375,599 | mfu: 16.3% | epoch: 1 | remaining: 67s    
step 00287 (77.8%) | loss: 3.164260 | lrm: 0.44 | dt: 698ms | tok/sec: 375,665 | mfu: 16.3% | epoch: 1 | remaining: 66s    
step 00288 (78.0%) | loss: 3.155075 | lrm: 0.44 | dt: 740ms | tok/sec: 354,234 | mfu: 15.3% | epoch: 1 | remaining: 65s    
step 00289 (78.3%) | loss: 3.149882 | lrm: 0.43 | dt: 699ms | tok/sec: 374,794 | mfu: 16.2% | epoch: 1 | remaining: 65s    
step 00290 (78.5%) | loss: 3.156132 | lrm: 0.43 | dt: 804ms | tok/sec: 326,168 | mfu: 14.1% | epoch: 1 | remaining: 64s    
step 00291 (78.8%) | loss: 3.160234 | lrm: 0.42 | dt: 707ms | tok/sec: 370,753 | mfu: 16.1% | epoch: 1 | remaining: 63s    
step 00292 (79.0%) | loss: 3.163468 | lrm: 0.42 | dt: 752ms | tok/sec: 348,820 | mfu: 15.1% | epoch: 1 | remaining: 62s    
step 00293 (79.2%) | loss: 3.164775 | lrm: 0.42 | dt: 693ms | tok/sec: 378,081 | mfu: 16.4% | epoch: 1 | remaining: 62s    
step 00294 (79.5%) | loss: 3.167999 | lrm: 0.41 | dt: 806ms | tok/sec: 325,345 | mfu: 14.1% | epoch: 1 | remaining: 61s    
step 00295 (79.7%) | loss: 3.174677 | lrm: 0.41 | dt: 778ms | tok/sec: 336,931 | mfu: 14.6% | epoch: 1 | remaining: 60s    
step 00296 (80.0%) | loss: 3.174343 | lrm: 0.40 | dt: 724ms | tok/sec: 362,040 | mfu: 15.7% | epoch: 1 | remaining: 59s    
step 00297 (80.2%) | loss: 3.175101 | lrm: 0.40 | dt: 709ms | tok/sec: 369,759 | mfu: 16.0% | epoch: 1 | remaining: 59s    
step 00298 (80.5%) | loss: 3.172254 | lrm: 0.39 | dt: 765ms | tok/sec: 342,595 | mfu: 14.8% | epoch: 1 | remaining: 58s    
step 00299 (80.7%) | loss: 3.177114 | lrm: 0.39 | dt: 703ms | tok/sec: 372,704 | mfu: 16.1% | epoch: 1 | remaining: 57s    
step 00300 (81.0%) | loss: 3.171822 | lrm: 0.38 | dt: 695ms | tok/sec: 377,350 | mfu: 16.3% | epoch: 1 | remaining: 56s    
step 00301 (81.2%) | loss: 3.162899 | lrm: 0.38 | dt: 694ms | tok/sec: 377,848 | mfu: 16.4% | epoch: 1 | remaining: 56s    
step 00302 (81.4%) | loss: 3.160519 | lrm: 0.37 | dt: 755ms | tok/sec: 347,270 | mfu: 15.0% | epoch: 1 | remaining: 55s    
step 00303 (81.7%) | loss: 3.158925 | lrm: 0.37 | dt: 694ms | tok/sec: 377,562 | mfu: 16.4% | epoch: 1 | remaining: 54s    
step 00304 (81.9%) | loss: 3.163306 | lrm: 0.36 | dt: 694ms | tok/sec: 377,504 | mfu: 16.4% | epoch: 1 | remaining: 54s    
step 00305 (82.2%) | loss: 3.166026 | lrm: 0.36 | dt: 741ms | tok/sec: 353,673 | mfu: 15.3% | epoch: 1 | remaining: 53s    
step 00306 (82.4%) | loss: 3.160558 | lrm: 0.35 | dt: 732ms | tok/sec: 357,975 | mfu: 15.5% | epoch: 1 | remaining: 52s    
step 00307 (82.6%) | loss: 3.153170 | lrm: 0.35 | dt: 776ms | tok/sec: 337,864 | mfu: 14.6% | epoch: 1 | remaining: 51s    
step 00308 (82.9%) | loss: 3.153552 | lrm: 0.34 | dt: 751ms | tok/sec: 348,916 | mfu: 15.1% | epoch: 1 | remaining: 51s    
step 00309 (83.2%) | loss: 3.150675 | lrm: 0.34 | dt: 717ms | tok/sec: 365,615 | mfu: 15.8% | epoch: 1 | remaining: 50s    
step 00310 (83.4%) | loss: 3.148411 | lrm: 0.33 | dt: 717ms | tok/sec: 365,863 | mfu: 15.8% | epoch: 1 | remaining: 49s    
step 00311 (83.6%) | loss: 3.132035 | lrm: 0.33 | dt: 724ms | tok/sec: 362,208 | mfu: 15.7% | epoch: 1 | remaining: 48s    
step 00312 (83.9%) | loss: 3.131331 | lrm: 0.32 | dt: 750ms | tok/sec: 349,554 | mfu: 15.1% | epoch: 1 | remaining: 48s    
step 00313 (84.1%) | loss: 3.129124 | lrm: 0.32 | dt: 693ms | tok/sec: 378,151 | mfu: 16.4% | epoch: 1 | remaining: 47s    
step 00314 (84.4%) | loss: 3.125596 | lrm: 0.31 | dt: 695ms | tok/sec: 377,255 | mfu: 16.3% | epoch: 1 | remaining: 46s    
