Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.010611 | lrm: 1.00 | dt: 24071ms | tok/sec: 10,890 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.201816 | lrm: 1.00 | dt: 888ms | tok/sec: 295,116 | mfu: 12.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.082386 | lrm: 1.00 | dt: 935ms | tok/sec: 280,372 | mfu: 12.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.759513 | lrm: 1.00 | dt: 1034ms | tok/sec: 253,574 | mfu: 11.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.433337 | lrm: 1.00 | dt: 1071ms | tok/sec: 244,776 | mfu: 10.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.107570 | lrm: 1.00 | dt: 1065ms | tok/sec: 246,037 | mfu: 10.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.818989 | lrm: 1.00 | dt: 1069ms | tok/sec: 245,274 | mfu: 10.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.568892 | lrm: 1.00 | dt: 1140ms | tok/sec: 230,002 | mfu: 10.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.341811 | lrm: 1.00 | dt: 849ms | tok/sec: 308,766 | mfu: 13.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.135519 | lrm: 1.00 | dt: 968ms | tok/sec: 270,930 | mfu: 11.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.964974 | lrm: 1.00 | dt: 958ms | tok/sec: 273,581 | mfu: 11.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.805650 | lrm: 1.00 | dt: 1027ms | tok/sec: 255,322 | mfu: 11.1% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.659787 | lrm: 1.00 | dt: 782ms | tok/sec: 335,178 | mfu: 14.5% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 6.541114 | lrm: 1.00 | dt: 1067ms | tok/sec: 245,727 | mfu: 10.6% | epoch: 1 | remaining: 297s    
step 00156 (44.5%) | loss: 3.555252 | lrm: 1.00 | dt: 722ms | tok/sec: 362,964 | mfu: 15.7% | epoch: 1 | remaining: 166s    
step 00157 (44.8%) | loss: 3.539785 | lrm: 1.00 | dt: 739ms | tok/sec: 354,901 | mfu: 15.4% | epoch: 1 | remaining: 165s    
step 00158 (45.0%) | loss: 3.532598 | lrm: 1.00 | dt: 718ms | tok/sec: 365,044 | mfu: 15.8% | epoch: 1 | remaining: 164s    
step 00159 (45.2%) | loss: 3.539618 | lrm: 1.00 | dt: 755ms | tok/sec: 347,382 | mfu: 15.0% | epoch: 1 | remaining: 163s    
step 00160 (45.5%) | loss: 3.531341 | lrm: 1.00 | dt: 699ms | tok/sec: 375,094 | mfu: 16.2% | epoch: 1 | remaining: 163s    
step 00161 (45.7%) | loss: 3.527743 | lrm: 1.00 | dt: 858ms | tok/sec: 305,489 | mfu: 13.2% | epoch: 1 | remaining: 162s    
step 00162 (46.0%) | loss: 3.513844 | lrm: 1.00 | dt: 696ms | tok/sec: 376,735 | mfu: 16.3% | epoch: 1 | remaining: 161s    
step 00163 (46.3%) | loss: 3.502915 | lrm: 1.00 | dt: 733ms | tok/sec: 357,819 | mfu: 15.5% | epoch: 1 | remaining: 161s    
step 00164 (46.5%) | loss: 3.502245 | lrm: 1.00 | dt: 852ms | tok/sec: 307,800 | mfu: 13.3% | epoch: 1 | remaining: 160s    
step 00165 (46.8%) | loss: 3.493804 | lrm: 1.00 | dt: 696ms | tok/sec: 376,774 | mfu: 16.3% | epoch: 1 | remaining: 159s    
step 00166 (47.0%) | loss: 3.486483 | lrm: 1.00 | dt: 793ms | tok/sec: 330,761 | mfu: 14.3% | epoch: 1 | remaining: 158s    
step 00167 (47.3%) | loss: 3.489890 | lrm: 1.00 | dt: 751ms | tok/sec: 349,077 | mfu: 15.1% | epoch: 1 | remaining: 157s    
step 00168 (47.5%) | loss: 3.491342 | lrm: 1.00 | dt: 751ms | tok/sec: 348,923 | mfu: 15.1% | epoch: 1 | remaining: 157s    
step 00169 (47.8%) | loss: 3.487655 | lrm: 1.00 | dt: 728ms | tok/sec: 359,845 | mfu: 15.6% | epoch: 1 | remaining: 156s    
step 00170 (48.0%) | loss: 3.485131 | lrm: 1.00 | dt: 767ms | tok/sec: 341,859 | mfu: 14.8% | epoch: 1 | remaining: 155s    
step 00171 (48.3%) | loss: 3.492718 | lrm: 1.00 | dt: 764ms | tok/sec: 343,303 | mfu: 14.9% | epoch: 1 | remaining: 154s    
step 00172 (48.5%) | loss: 3.481878 | lrm: 1.00 | dt: 795ms | tok/sec: 329,893 | mfu: 14.3% | epoch: 1 | remaining: 154s    
step 00173 (48.8%) | loss: 3.480840 | lrm: 1.00 | dt: 760ms | tok/sec: 344,882 | mfu: 14.9% | epoch: 1 | remaining: 153s    
step 00174 (49.0%) | loss: 3.480163 | lrm: 1.00 | dt: 696ms | tok/sec: 376,608 | mfu: 16.3% | epoch: 1 | remaining: 152s    
step 00175 (49.3%) | loss: 3.480238 | lrm: 1.00 | dt: 768ms | tok/sec: 341,297 | mfu: 14.8% | epoch: 1 | remaining: 151s    
step 00176 (49.5%) | loss: 3.478424 | lrm: 1.00 | dt: 855ms | tok/sec: 306,760 | mfu: 13.3% | epoch: 1 | remaining: 151s    
step 00177 (49.8%) | loss: 3.470664 | lrm: 1.00 | dt: 799ms | tok/sec: 328,001 | mfu: 14.2% | epoch: 1 | remaining: 150s    
step 00178 (50.1%) | loss: 3.469067 | lrm: 1.00 | dt: 734ms | tok/sec: 357,079 | mfu: 15.5% | epoch: 1 | remaining: 149s    
step 00179 (50.3%) | loss: 3.464283 | lrm: 0.99 | dt: 757ms | tok/sec: 346,188 | mfu: 15.0% | epoch: 1 | remaining: 148s    
step 00180 (50.6%) | loss: 3.466747 | lrm: 0.99 | dt: 834ms | tok/sec: 314,501 | mfu: 13.6% | epoch: 1 | remaining: 147s    
step 00181 (50.9%) | loss: 3.466072 | lrm: 0.98 | dt: 831ms | tok/sec: 315,377 | mfu: 13.7% | epoch: 1 | remaining: 147s    
step 00182 (51.1%) | loss: 3.458976 | lrm: 0.98 | dt: 809ms | tok/sec: 324,127 | mfu: 14.0% | epoch: 1 | remaining: 146s    
step 00183 (51.4%) | loss: 3.456747 | lrm: 0.97 | dt: 732ms | tok/sec: 358,093 | mfu: 15.5% | epoch: 1 | remaining: 145s    
step 00184 (51.7%) | loss: 3.452721 | lrm: 0.97 | dt: 819ms | tok/sec: 320,083 | mfu: 13.9% | epoch: 1 | remaining: 144s    
step 00185 (51.9%) | loss: 3.451543 | lrm: 0.96 | dt: 965ms | tok/sec: 271,691 | mfu: 11.8% | epoch: 1 | remaining: 143s    
step 00186 (52.2%) | loss: 3.450494 | lrm: 0.96 | dt: 782ms | tok/sec: 335,116 | mfu: 14.5% | epoch: 1 | remaining: 142s    
step 00187 (52.5%) | loss: 3.449606 | lrm: 0.95 | dt: 828ms | tok/sec: 316,650 | mfu: 13.7% | epoch: 1 | remaining: 142s    
step 00188 (52.8%) | loss: 3.449164 | lrm: 0.94 | dt: 695ms | tok/sec: 377,344 | mfu: 16.3% | epoch: 1 | remaining: 141s    
step 00189 (53.0%) | loss: 3.441766 | lrm: 0.94 | dt: 791ms | tok/sec: 331,357 | mfu: 14.4% | epoch: 1 | remaining: 140s    
step 00190 (53.3%) | loss: 3.444076 | lrm: 0.93 | dt: 770ms | tok/sec: 340,545 | mfu: 14.8% | epoch: 1 | remaining: 139s    
step 00191 (53.5%) | loss: 3.447211 | lrm: 0.93 | dt: 783ms | tok/sec: 334,990 | mfu: 14.5% | epoch: 1 | remaining: 139s    
step 00192 (53.8%) | loss: 3.454731 | lrm: 0.92 | dt: 764ms | tok/sec: 343,189 | mfu: 14.9% | epoch: 1 | remaining: 138s    
step 00193 (54.1%) | loss: 3.449539 | lrm: 0.92 | dt: 759ms | tok/sec: 345,201 | mfu: 15.0% | epoch: 1 | remaining: 137s    
step 00194 (54.3%) | loss: 3.447952 | lrm: 0.91 | dt: 699ms | tok/sec: 375,064 | mfu: 16.2% | epoch: 1 | remaining: 136s    
step 00195 (54.5%) | loss: 3.437073 | lrm: 0.91 | dt: 697ms | tok/sec: 376,267 | mfu: 16.3% | epoch: 1 | remaining: 136s    
step 00196 (54.8%) | loss: 3.434005 | lrm: 0.90 | dt: 698ms | tok/sec: 375,645 | mfu: 16.3% | epoch: 1 | remaining: 135s    
step 00197 (55.0%) | loss: 3.435170 | lrm: 0.90 | dt: 696ms | tok/sec: 376,686 | mfu: 16.3% | epoch: 1 | remaining: 134s    
step 00198 (55.2%) | loss: 3.428429 | lrm: 0.90 | dt: 697ms | tok/sec: 375,862 | mfu: 16.3% | epoch: 1 | remaining: 134s    
step 00199 (55.5%) | loss: 4.211384 | lrm: 0.89 | dt: 699ms | tok/sec: 374,874 | mfu: 16.2% | epoch: 1 | remaining: 133s    
step 00200 (55.7%) | loss: 4.155820 | lrm: 0.89 | dt: 696ms | tok/sec: 376,791 | mfu: 16.3% | epoch: 1 | remaining: 132s    
step 00201 (55.9%) | loss: 4.090337 | lrm: 0.88 | dt: 697ms | tok/sec: 376,309 | mfu: 16.3% | epoch: 1 | remaining: 132s    
step 00202 (56.2%) | loss: 4.020772 | lrm: 0.88 | dt: 697ms | tok/sec: 376,288 | mfu: 16.3% | epoch: 1 | remaining: 131s    
step 00203 (56.4%) | loss: 3.968250 | lrm: 0.87 | dt: 697ms | tok/sec: 376,366 | mfu: 16.3% | epoch: 1 | remaining: 130s    
step 00204 (56.6%) | loss: 3.916432 | lrm: 0.87 | dt: 700ms | tok/sec: 374,574 | mfu: 16.2% | epoch: 1 | remaining: 129s    
step 00205 (56.9%) | loss: 3.880938 | lrm: 0.86 | dt: 698ms | tok/sec: 375,662 | mfu: 16.3% | epoch: 1 | remaining: 129s    
step 00206 (57.1%) | loss: 3.839751 | lrm: 0.86 | dt: 697ms | tok/sec: 376,366 | mfu: 16.3% | epoch: 1 | remaining: 128s    
step 00207 (57.3%) | loss: 4.444662 | lrm: 0.85 | dt: 696ms | tok/sec: 376,758 | mfu: 16.3% | epoch: 1 | remaining: 127s    
step 00208 (57.6%) | loss: 4.328387 | lrm: 0.85 | dt: 700ms | tok/sec: 374,507 | mfu: 16.2% | epoch: 1 | remaining: 127s    
step 00209 (57.8%) | loss: 4.235197 | lrm: 0.84 | dt: 695ms | tok/sec: 377,062 | mfu: 16.3% | epoch: 1 | remaining: 126s    
step 00210 (58.0%) | loss: 4.476692 | lrm: 0.84 | dt: 697ms | tok/sec: 375,982 | mfu: 16.3% | epoch: 1 | remaining: 125s    
step 00211 (58.3%) | loss: 4.367436 | lrm: 0.83 | dt: 696ms | tok/sec: 376,567 | mfu: 16.3% | epoch: 1 | remaining: 125s    
step 00212 (58.5%) | loss: 4.289026 | lrm: 0.83 | dt: 696ms | tok/sec: 376,539 | mfu: 16.3% | epoch: 1 | remaining: 124s    
step 00213 (58.7%) | loss: 4.224007 | lrm: 0.83 | dt: 698ms | tok/sec: 375,827 | mfu: 16.3% | epoch: 1 | remaining: 123s    
step 00214 (59.0%) | loss: 4.139863 | lrm: 0.82 | dt: 697ms | tok/sec: 376,300 | mfu: 16.3% | epoch: 1 | remaining: 122s    
step 00215 (59.2%) | loss: 4.066599 | lrm: 0.82 | dt: 776ms | tok/sec: 337,830 | mfu: 14.6% | epoch: 1 | remaining: 122s    
step 00216 (59.4%) | loss: 4.003351 | lrm: 0.81 | dt: 837ms | tok/sec: 313,125 | mfu: 13.6% | epoch: 1 | remaining: 121s    
step 00217 (59.7%) | loss: 3.944911 | lrm: 0.81 | dt: 697ms | tok/sec: 376,319 | mfu: 16.3% | epoch: 1 | remaining: 120s    
step 00218 (60.0%) | loss: 3.886106 | lrm: 0.80 | dt: 696ms | tok/sec: 376,508 | mfu: 16.3% | epoch: 1 | remaining: 119s    
step 00219 (60.2%) | loss: 3.833007 | lrm: 0.80 | dt: 697ms | tok/sec: 376,003 | mfu: 16.3% | epoch: 1 | remaining: 119s    
step 00220 (60.4%) | loss: 3.784189 | lrm: 0.79 | dt: 695ms | tok/sec: 376,925 | mfu: 16.3% | epoch: 1 | remaining: 118s    
step 00221 (60.7%) | loss: 4.425219 | lrm: 0.79 | dt: 700ms | tok/sec: 374,613 | mfu: 16.2% | epoch: 1 | remaining: 117s    
step 00222 (60.9%) | loss: 4.317564 | lrm: 0.78 | dt: 697ms | tok/sec: 376,233 | mfu: 16.3% | epoch: 1 | remaining: 117s    
step 00223 (61.1%) | loss: 4.232296 | lrm: 0.78 | dt: 697ms | tok/sec: 376,030 | mfu: 16.3% | epoch: 1 | remaining: 116s    
step 00224 (61.3%) | loss: 4.148199 | lrm: 0.77 | dt: 720ms | tok/sec: 364,220 | mfu: 15.8% | epoch: 1 | remaining: 115s    
step 00225 (61.6%) | loss: 4.074096 | lrm: 0.77 | dt: 696ms | tok/sec: 376,701 | mfu: 16.3% | epoch: 1 | remaining: 115s    
step 00226 (61.8%) | loss: 4.016618 | lrm: 0.76 | dt: 696ms | tok/sec: 376,478 | mfu: 16.3% | epoch: 1 | remaining: 114s    
step 00227 (62.1%) | loss: 3.954099 | lrm: 0.76 | dt: 696ms | tok/sec: 376,503 | mfu: 16.3% | epoch: 1 | remaining: 113s    
step 00228 (62.3%) | loss: 4.605078 | lrm: 0.75 | dt: 697ms | tok/sec: 376,279 | mfu: 16.3% | epoch: 1 | remaining: 112s    
step 00229 (62.5%) | loss: 4.478471 | lrm: 0.75 | dt: 798ms | tok/sec: 328,427 | mfu: 14.2% | epoch: 1 | remaining: 112s    
step 00230 (62.8%) | loss: 4.375116 | lrm: 0.74 | dt: 695ms | tok/sec: 377,007 | mfu: 16.3% | epoch: 1 | remaining: 111s    
step 00231 (63.0%) | loss: 4.283698 | lrm: 0.74 | dt: 697ms | tok/sec: 376,291 | mfu: 16.3% | epoch: 1 | remaining: 110s    
step 00232 (63.2%) | loss: 4.184716 | lrm: 0.74 | dt: 696ms | tok/sec: 376,735 | mfu: 16.3% | epoch: 1 | remaining: 110s    
step 00233 (63.5%) | loss: 4.098957 | lrm: 0.73 | dt: 698ms | tok/sec: 375,822 | mfu: 16.3% | epoch: 1 | remaining: 109s    
step 00234 (63.7%) | loss: 4.026545 | lrm: 0.73 | dt: 695ms | tok/sec: 377,030 | mfu: 16.3% | epoch: 1 | remaining: 108s    
step 00235 (63.9%) | loss: 3.971073 | lrm: 0.72 | dt: 695ms | tok/sec: 377,141 | mfu: 16.3% | epoch: 1 | remaining: 107s    
step 00236 (64.2%) | loss: 3.914956 | lrm: 0.72 | dt: 696ms | tok/sec: 376,765 | mfu: 16.3% | epoch: 1 | remaining: 107s    
step 00237 (64.4%) | loss: 3.866935 | lrm: 0.71 | dt: 697ms | tok/sec: 376,302 | mfu: 16.3% | epoch: 1 | remaining: 106s    
step 00238 (64.6%) | loss: 3.817858 | lrm: 0.71 | dt: 722ms | tok/sec: 363,324 | mfu: 15.7% | epoch: 1 | remaining: 105s    
step 00239 (64.9%) | loss: 3.774758 | lrm: 0.70 | dt: 767ms | tok/sec: 341,738 | mfu: 14.8% | epoch: 1 | remaining: 105s    
step 00240 (65.1%) | loss: 3.732371 | lrm: 0.70 | dt: 713ms | tok/sec: 367,602 | mfu: 15.9% | epoch: 1 | remaining: 104s    
step 00241 (65.4%) | loss: 3.696667 | lrm: 0.69 | dt: 695ms | tok/sec: 377,196 | mfu: 16.3% | epoch: 1 | remaining: 103s    
step 00242 (65.6%) | loss: 3.663590 | lrm: 0.69 | dt: 707ms | tok/sec: 370,783 | mfu: 16.1% | epoch: 1 | remaining: 102s    
step 00243 (65.8%) | loss: 3.627031 | lrm: 0.68 | dt: 734ms | tok/sec: 357,244 | mfu: 15.5% | epoch: 1 | remaining: 102s    
step 00244 (66.1%) | loss: 3.580042 | lrm: 0.68 | dt: 699ms | tok/sec: 375,192 | mfu: 16.3% | epoch: 1 | remaining: 101s    
step 00245 (66.3%) | loss: 3.551262 | lrm: 0.67 | dt: 776ms | tok/sec: 337,697 | mfu: 14.6% | epoch: 1 | remaining: 100s    
step 00246 (66.6%) | loss: 3.529832 | lrm: 0.67 | dt: 694ms | tok/sec: 377,471 | mfu: 16.4% | epoch: 1 | remaining: 100s    
step 00247 (66.8%) | loss: 3.516615 | lrm: 0.66 | dt: 751ms | tok/sec: 348,958 | mfu: 15.1% | epoch: 1 | remaining: 99s    
step 00248 (67.1%) | loss: 3.496379 | lrm: 0.66 | dt: 740ms | tok/sec: 354,108 | mfu: 15.3% | epoch: 1 | remaining: 98s    
step 00249 (67.3%) | loss: 3.487828 | lrm: 0.65 | dt: 700ms | tok/sec: 374,554 | mfu: 16.2% | epoch: 1 | remaining: 97s    
step 00250 (67.5%) | loss: 3.473967 | lrm: 0.65 | dt: 765ms | tok/sec: 342,732 | mfu: 14.8% | epoch: 1 | remaining: 97s    
step 00251 (67.8%) | loss: 3.460564 | lrm: 0.64 | dt: 695ms | tok/sec: 377,451 | mfu: 16.3% | epoch: 1 | remaining: 96s    
step 00252 (68.0%) | loss: 3.445928 | lrm: 0.64 | dt: 724ms | tok/sec: 362,053 | mfu: 15.7% | epoch: 1 | remaining: 95s    
step 00253 (68.3%) | loss: 3.427737 | lrm: 0.63 | dt: 697ms | tok/sec: 376,063 | mfu: 16.3% | epoch: 1 | remaining: 95s    
step 00254 (68.5%) | loss: 3.404870 | lrm: 0.63 | dt: 696ms | tok/sec: 376,750 | mfu: 16.3% | epoch: 1 | remaining: 94s    
step 00255 (68.7%) | loss: 3.397143 | lrm: 0.63 | dt: 701ms | tok/sec: 373,942 | mfu: 16.2% | epoch: 1 | remaining: 93s    
step 00256 (69.0%) | loss: 3.374134 | lrm: 0.62 | dt: 699ms | tok/sec: 375,122 | mfu: 16.2% | epoch: 1 | remaining: 92s    
step 00257 (69.2%) | loss: 3.371995 | lrm: 0.62 | dt: 758ms | tok/sec: 345,875 | mfu: 15.0% | epoch: 1 | remaining: 92s    
step 00258 (69.4%) | loss: 3.365400 | lrm: 0.61 | dt: 702ms | tok/sec: 373,486 | mfu: 16.2% | epoch: 1 | remaining: 91s    
step 00259 (69.7%) | loss: 3.352952 | lrm: 0.61 | dt: 721ms | tok/sec: 363,503 | mfu: 15.7% | epoch: 1 | remaining: 90s    
step 00260 (69.9%) | loss: 3.349369 | lrm: 0.60 | dt: 696ms | tok/sec: 376,607 | mfu: 16.3% | epoch: 1 | remaining: 90s    
step 00261 (70.2%) | loss: 3.339099 | lrm: 0.60 | dt: 697ms | tok/sec: 376,207 | mfu: 16.3% | epoch: 1 | remaining: 89s    
step 00262 (70.4%) | loss: 3.331759 | lrm: 0.59 | dt: 696ms | tok/sec: 376,796 | mfu: 16.3% | epoch: 1 | remaining: 88s    
step 00263 (70.6%) | loss: 3.329832 | lrm: 0.59 | dt: 695ms | tok/sec: 376,943 | mfu: 16.3% | epoch: 1 | remaining: 87s    
step 00264 (70.9%) | loss: 3.327459 | lrm: 0.58 | dt: 696ms | tok/sec: 376,889 | mfu: 16.3% | epoch: 1 | remaining: 87s    
step 00265 (71.1%) | loss: 3.317922 | lrm: 0.58 | dt: 696ms | tok/sec: 376,541 | mfu: 16.3% | epoch: 1 | remaining: 86s    
step 00266 (71.3%) | loss: 3.303715 | lrm: 0.57 | dt: 739ms | tok/sec: 354,691 | mfu: 15.4% | epoch: 1 | remaining: 85s    
step 00267 (71.6%) | loss: 3.288725 | lrm: 0.57 | dt: 695ms | tok/sec: 377,113 | mfu: 16.3% | epoch: 1 | remaining: 85s    
step 00268 (71.8%) | loss: 3.284410 | lrm: 0.56 | dt: 695ms | tok/sec: 377,143 | mfu: 16.3% | epoch: 1 | remaining: 84s    
step 00269 (72.0%) | loss: 3.272563 | lrm: 0.56 | dt: 701ms | tok/sec: 373,982 | mfu: 16.2% | epoch: 1 | remaining: 83s    
step 00270 (72.3%) | loss: 3.262979 | lrm: 0.55 | dt: 697ms | tok/sec: 376,153 | mfu: 16.3% | epoch: 1 | remaining: 83s    
step 00271 (72.5%) | loss: 3.261200 | lrm: 0.55 | dt: 696ms | tok/sec: 376,428 | mfu: 16.3% | epoch: 1 | remaining: 82s    
step 00272 (72.7%) | loss: 3.262615 | lrm: 0.55 | dt: 701ms | tok/sec: 373,991 | mfu: 16.2% | epoch: 1 | remaining: 81s    
step 00273 (73.0%) | loss: 3.246176 | lrm: 0.54 | dt: 804ms | tok/sec: 326,231 | mfu: 14.1% | epoch: 1 | remaining: 80s    
step 00274 (73.2%) | loss: 3.236591 | lrm: 0.54 | dt: 777ms | tok/sec: 337,307 | mfu: 14.6% | epoch: 1 | remaining: 80s    
step 00275 (73.5%) | loss: 3.243850 | lrm: 0.53 | dt: 696ms | tok/sec: 376,452 | mfu: 16.3% | epoch: 1 | remaining: 79s    
step 00276 (73.7%) | loss: 3.242404 | lrm: 0.53 | dt: 697ms | tok/sec: 376,270 | mfu: 16.3% | epoch: 1 | remaining: 78s    
step 00277 (73.9%) | loss: 3.237850 | lrm: 0.52 | dt: 744ms | tok/sec: 352,157 | mfu: 15.3% | epoch: 1 | remaining: 77s    
step 00278 (74.2%) | loss: 3.240914 | lrm: 0.52 | dt: 812ms | tok/sec: 322,931 | mfu: 14.0% | epoch: 1 | remaining: 77s    
step 00279 (74.5%) | loss: 3.231253 | lrm: 0.51 | dt: 754ms | tok/sec: 347,700 | mfu: 15.1% | epoch: 1 | remaining: 76s    
step 00280 (74.7%) | loss: 3.230076 | lrm: 0.51 | dt: 753ms | tok/sec: 348,095 | mfu: 15.1% | epoch: 1 | remaining: 75s    
step 00281 (75.0%) | loss: 3.227000 | lrm: 0.50 | dt: 855ms | tok/sec: 306,778 | mfu: 13.3% | epoch: 1 | remaining: 74s    
step 00282 (75.3%) | loss: 3.212319 | lrm: 0.49 | dt: 714ms | tok/sec: 367,308 | mfu: 15.9% | epoch: 1 | remaining: 74s    
step 00283 (75.5%) | loss: 3.201469 | lrm: 0.49 | dt: 714ms | tok/sec: 367,166 | mfu: 15.9% | epoch: 1 | remaining: 73s    
step 00284 (75.7%) | loss: 3.204924 | lrm: 0.49 | dt: 776ms | tok/sec: 337,759 | mfu: 14.6% | epoch: 1 | remaining: 72s    
step 00285 (76.0%) | loss: 3.207750 | lrm: 0.48 | dt: 803ms | tok/sec: 326,597 | mfu: 14.1% | epoch: 1 | remaining: 71s    
step 00286 (76.3%) | loss: 3.202919 | lrm: 0.47 | dt: 823ms | tok/sec: 318,415 | mfu: 13.8% | epoch: 1 | remaining: 70s    
step 00287 (76.5%) | loss: 3.195286 | lrm: 0.47 | dt: 723ms | tok/sec: 362,689 | mfu: 15.7% | epoch: 1 | remaining: 70s    
step 00288 (76.8%) | loss: 3.185925 | lrm: 0.46 | dt: 781ms | tok/sec: 335,705 | mfu: 14.5% | epoch: 1 | remaining: 69s    
step 00289 (77.0%) | loss: 3.180258 | lrm: 0.46 | dt: 695ms | tok/sec: 377,342 | mfu: 16.3% | epoch: 1 | remaining: 68s    
step 00290 (77.3%) | loss: 3.185902 | lrm: 0.45 | dt: 903ms | tok/sec: 290,198 | mfu: 12.6% | epoch: 1 | remaining: 67s    
step 00291 (77.6%) | loss: 3.189716 | lrm: 0.45 | dt: 787ms | tok/sec: 333,150 | mfu: 14.4% | epoch: 1 | remaining: 67s    
step 00292 (77.8%) | loss: 3.192326 | lrm: 0.44 | dt: 718ms | tok/sec: 365,060 | mfu: 15.8% | epoch: 1 | remaining: 66s    
step 00293 (78.1%) | loss: 3.193410 | lrm: 0.44 | dt: 785ms | tok/sec: 334,147 | mfu: 14.5% | epoch: 1 | remaining: 65s    
step 00294 (78.3%) | loss: 3.196355 | lrm: 0.43 | dt: 734ms | tok/sec: 357,286 | mfu: 15.5% | epoch: 1 | remaining: 64s    
step 00295 (78.6%) | loss: 3.202696 | lrm: 0.43 | dt: 750ms | tok/sec: 349,310 | mfu: 15.1% | epoch: 1 | remaining: 64s    
step 00296 (78.8%) | loss: 3.202168 | lrm: 0.42 | dt: 700ms | tok/sec: 374,294 | mfu: 16.2% | epoch: 1 | remaining: 63s    
step 00297 (79.1%) | loss: 3.202510 | lrm: 0.42 | dt: 695ms | tok/sec: 377,155 | mfu: 16.3% | epoch: 1 | remaining: 62s    
step 00298 (79.3%) | loss: 3.198803 | lrm: 0.41 | dt: 738ms | tok/sec: 355,316 | mfu: 15.4% | epoch: 1 | remaining: 61s    
step 00299 (79.5%) | loss: 3.203426 | lrm: 0.41 | dt: 703ms | tok/sec: 373,045 | mfu: 16.2% | epoch: 1 | remaining: 61s    
step 00300 (79.8%) | loss: 3.198043 | lrm: 0.40 | dt: 714ms | tok/sec: 367,055 | mfu: 15.9% | epoch: 1 | remaining: 60s    
step 00301 (80.0%) | loss: 3.188843 | lrm: 0.40 | dt: 709ms | tok/sec: 369,855 | mfu: 16.0% | epoch: 1 | remaining: 59s    
step 00302 (80.2%) | loss: 3.186032 | lrm: 0.40 | dt: 713ms | tok/sec: 367,498 | mfu: 15.9% | epoch: 1 | remaining: 59s    
step 00303 (80.5%) | loss: 3.183799 | lrm: 0.39 | dt: 697ms | tok/sec: 376,000 | mfu: 16.3% | epoch: 1 | remaining: 58s    
step 00304 (80.7%) | loss: 3.187721 | lrm: 0.39 | dt: 707ms | tok/sec: 370,811 | mfu: 16.1% | epoch: 1 | remaining: 57s    
step 00305 (80.9%) | loss: 3.190014 | lrm: 0.38 | dt: 704ms | tok/sec: 372,377 | mfu: 16.1% | epoch: 1 | remaining: 56s    
step 00306 (81.2%) | loss: 3.184254 | lrm: 0.38 | dt: 700ms | tok/sec: 374,489 | mfu: 16.2% | epoch: 1 | remaining: 56s    
step 00307 (81.4%) | loss: 3.176767 | lrm: 0.37 | dt: 710ms | tok/sec: 369,021 | mfu: 16.0% | epoch: 1 | remaining: 55s    
step 00308 (81.7%) | loss: 3.179274 | lrm: 0.37 | dt: 696ms | tok/sec: 376,874 | mfu: 16.3% | epoch: 1 | remaining: 54s    
step 00309 (81.9%) | loss: 3.561970 | lrm: 0.36 | dt: 695ms | tok/sec: 376,958 | mfu: 16.3% | epoch: 1 | remaining: 54s    
step 00310 (82.1%) | loss: 3.523255 | lrm: 0.36 | dt: 696ms | tok/sec: 376,384 | mfu: 16.3% | epoch: 1 | remaining: 53s    
step 00311 (82.3%) | loss: 3.473176 | lrm: 0.35 | dt: 708ms | tok/sec: 370,508 | mfu: 16.0% | epoch: 1 | remaining: 52s    
step 00312 (82.6%) | loss: 3.442463 | lrm: 0.35 | dt: 698ms | tok/sec: 375,572 | mfu: 16.3% | epoch: 1 | remaining: 52s    
step 00313 (82.8%) | loss: 3.412247 | lrm: 0.34 | dt: 696ms | tok/sec: 376,608 | mfu: 16.3% | epoch: 1 | remaining: 51s    
step 00314 (83.0%) | loss: 4.161564 | lrm: 0.34 | dt: 697ms | tok/sec: 376,039 | mfu: 16.3% | epoch: 1 | remaining: 50s    
